# Profile-contract cold-review manifest for the Scripture chronology corpus.
#
# The complete review surface for a GENUINELY COLD review of the
# profile-contract correction lane: a new agent or session that performed
# none of the population, none of the audits, and none of these corrections.
# Every row is reviewed. Nothing is sampled and nothing is hand-picked.
#
# Derived by diffing the corpus at c1dee9fc0ddfea3ea06d951c7ad25d05b75b0341 -- loaded by ITS OWN loader --
# against the WORKING TREE loaded by the loader in it, as OBJECTS, so a
# reformat cannot hide a change; then unioned with four whole-population
# queries over the head corpus (every claim citing Howlett, every claim citing
# Sloet, every claim naming a reporting exception, every preserved claim, and
# every claim still carrying basis_class `unreviewed`), and with the five
# blockers by id and the contract and gate files by path, and with every gap
# row added, withdrawn or reworded, which is what a verse answers with once the
# last answerable claim standing over it has been preserved.
#
# Deduplicated on case_type + ':' + case_id. `why_in_review` keeps EVERY
# reason that reached a row, so a case that four clauses of the brief reach
# is one row that says so four times rather than four rows saying it once.
#
# Regenerate with `python3 scripts/build_profile_contract_manifest.py`, and ask
# whether it has drifted with the same command and `--check`. BOTH derive
# against the base PINNED IN THE BUILDER as `BASE_REVISION`, and NEITHER reads
# the base out of the line above. Until 2026-09-02 write mode defaulted to HEAD,
# so a cold reviewer who ran the command printed here in a clean clone rebased
# this surface onto HEAD and collapsed it from 475 rows to 95 -- and `--check`,
# which took its base from this file's own header, then reported the collapse as
# current. Both halves are fixed; the command above is safe to run.
#
# `--base REV` still exists, for a one-off comparison against some other
# revision. What it produces is a DIFFERENT artifact and is not this one, and
# `--check` will say so.
# Rows: 480.
review_id	case_type	case_id	changed_in_lane	change	answerability_change	basis_class	answerability	disposition	source_record	prior_review_ids	why_in_review
PC-194	claim	event:israel.monarchy.birth-of-david#0	yes	changed:basis_class+note	-	reported-traditional	answerable	disputed	artifact.catholic-encyclopedia.volume-4.new-york-1908.newadvent-04642b-f1c0bed3;passage.catholic-encyclopedia.volume-4.new-york-1908.corbett-david-usual-chronology	FA-042;P-025;RR-026	the claim's own stored state changed in this lane
PC-195	claim	event:israel.monarchy.david-accession#0	yes	changed:disposition+basis_class+note	-	reported-traditional	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	-	"the claim's own stored state changed in this lane | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample"
PC-196	claim	event:israel.monarchy.david-accession#1	yes	changed:disposition+answerability+basis_class+note	answerable->preserved (claim-changed)	profane-harmonisation	preserved	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	MF-3;FA-043	"the claim's own stored state changed in this lane | the claim's candidate eligibility changed: disposition+answerability+basis_class+note | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-197	claim	event:israel.monarchy.david-accession#2	yes	added	-	modern-critical	preserved	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-198	claim	event:israel.monarchy.david-at-geth#0	yes	changed:basis_class+reporting_exception+sources+basis+note	-	reported-excluded	answerable	preferred	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.first-kings-21-achis-geth-chronology;passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	-	the claim's own stored state changed in this lane | Ussher reporting exception: the narrowness of the one named lift is only checkable claim by claim
PC-199	claim	event:israel.monarchy.david-capture-of-sion#0	yes	changed:basis_class+note	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08344a-e6625662	-	the claim's own stored state changed in this lane
PC-200	claim	event:israel.monarchy.david-delivered-from-his-enemies#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:2Kings.22.1;bible:douay-rheims:Ps.17.1	-	the claim's own stored state changed in this lane
PC-201	claim	event:israel.monarchy.david-flight-from-absalom#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ps.3.1	-	the claim's own stored state changed in this lane
PC-202	claim	event:israel.monarchy.david-house-built#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:2Kings.5.7;bible:douay-rheims:2Kings.5.11;artifact.catholic-encyclopedia.volume-4.new-york-1908.newadvent-04642b-f1c0bed3	-	the claim's own stored state changed in this lane
PC-203	claim	event:israel.monarchy.david-in-the-cave#0	yes	changed:basis_class+reporting_exception+sources+basis+note	-	reported-excluded	answerable	preferred	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.first-kings-23-maon-chronology;bible:douay-rheims:Ps.56.1;bible:douay-rheims:1Kings.24.4;passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	-	the claim's own stored state changed in this lane | Ussher reporting exception: the narrowness of the one named lift is only checkable claim by claim
PC-204	claim	event:israel.monarchy.david-in-the-desert-of-maon#0	yes	changed:basis_class+reporting_exception+sources+basis+note	-	reported-excluded	answerable	preferred	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.first-kings-23-maon-chronology;passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	-	the claim's own stored state changed in this lane | Ussher reporting exception: the narrowness of the one named lift is only checkable claim by claim
PC-205	claim	event:israel.monarchy.david-reign#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:2Kings.5.4;bible:douay-rheims:2Kings.5.5	-	the claim's own stored state changed in this lane
PC-206	claim	event:israel.monarchy.david-repentance#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Ps.50.1;bible:douay-rheims:Ps.50.2;bible:douay-rheims:2Kings.12.13	-	the claim's own stored state changed in this lane
PC-207	claim	event:israel.monarchy.death-of-saul#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Kings.31.6;bible:douay-rheims:1Par.10.14	-	the claim's own stored state changed in this lane
PC-208	claim	event:israel.monarchy.deliverance-of-jabes-galaad#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Kings.11.1	-	the claim's own stored state changed in this lane
PC-209	claim	event:israel.monarchy.demand-for-a-king#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Kings.8.1;bible:douay-rheims:1Kings.8.5;artifact.catholic-encyclopedia.volume-13.new-york-1912.newadvent-13486d-f838ad5f	-	the claim's own stored state changed in this lane
PC-210	claim	event:israel.monarchy.isboseth-reign#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:2Kings.2.10;bible:douay-rheims:2Kings.2.11	-	the claim's own stored state changed in this lane
PC-211	claim	event:israel.monarchy.nabal-in-the-wilderness-of-maon#0	yes	changed:basis_class+reporting_exception+sources+basis+note	-	reported-excluded	answerable	preferred	passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.first-kings-25-maon-chronology;passage.george-leo-haydock.douay-rheims-with-haydock-commentary.2014-loreto-feeney-memorial.psalm-70-captivities-usher-chronology	-	the claim's own stored state changed in this lane | Ussher reporting exception: the narrowness of the one named lift is only checkable claim by claim
PC-212	claim	event:israel.monarchy.news-of-sauls-death#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:2Kings.1.1;bible:douay-rheims:2Kings.1.2	-	the claim's own stored state changed in this lane
PC-213	claim	event:israel.monarchy.numbering-of-the-people#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:2Kings.24.8;bible:douay-rheims:1Par.27.24	-	the claim's own stored state changed in this lane
PC-214	claim	event:israel.monarchy.saul-accession#0	yes	added	-	modern-critical	preserved	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-215	claim	event:israel.monarchy.saul-reign#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:1Kings.13.1	-	the claim's own stored state changed in this lane
PC-216	claim	event:israel.monarchy.solomon-accession#0	yes	changed:disposition+basis_class+basis+note	-	reported-traditional	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	-	"the claim's own stored state changed in this lane | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample"
PC-217	claim	event:israel.monarchy.solomon-accession#1	yes	changed:disposition+answerability+basis_class+basis+note	answerable->preserved (claim-changed)	profane-harmonisation	preserved	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	MF-3;FA-048	"the claim's own stored state changed in this lane | the claim's candidate eligibility changed: disposition+answerability+basis_class+basis+note | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-218	claim	event:israel.monarchy.solomon-accession#2	yes	added	-	modern-critical	preserved	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-219	claim	event:israel.monarchy.solomon-reign#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:3Kings.11.42;artifact.catholic-encyclopedia.volume-14.new-york-1912.newadvent-14135b-7923b46e	-	the claim's own stored state changed in this lane
PC-220	claim	event:israel.monarchy.temple-begun#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:3Kings.6.1	-	the claim's own stored state changed in this lane
PC-221	claim	event:israel.monarchy.temple-begun#1	yes	changed:basis_class+basis+note	-	reported-traditional	answerable	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	-	"the claim's own stored state changed in this lane | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample"
PC-222	claim	event:israel.monarchy.temple-begun#2	yes	changed:answerability+basis_class+note	answerable->preserved (claim-changed)	reported-excluded	preserved	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	FA-049;P-004;E2-001;G-006;S1-001;RR-029	"the claim's own stored state changed in this lane | the claim's candidate eligibility changed: answerability+basis_class+note | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-223	claim	event:israel.monarchy.temple-begun#3	yes	changed:answerability+basis_class+basis+note	answerable->preserved (claim-changed)	profane-harmonisation	preserved	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08654a-645bba6c	MF-3;FA-050;RR-030;RR-090	"the claim's own stored state changed in this lane | the claim's candidate eligibility changed: answerability+basis_class+basis+note | Sloet whole-artifact ruling: every claim citing ""Chronology of the Kings"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-224	claim	event:israel.monarchy.temple-begun#4	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-14.new-york-1912.newadvent-14499a-82b12b6e	-	the claim's own stored state changed in this lane
PC-225	claim	event:israel.monarchy.temple-begun#5	yes	added	-	modern-critical	preserved	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer"
PC-226	claim	event:israel.monarchy.temple-finished#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:3Kings.6.37;bible:douay-rheims:3Kings.6.38	-	the claim's own stored state changed in this lane
PC-227	claim	event:israel.patriarchs.abram-contact-with-egypt-and-elam#0	yes	changed:disposition+answerability+basis_class+note	answerable->preserved (claim-changed)	modern-critical	preserved	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08193a-4931095f	-	the claim's own stored state changed in this lane | the claim's candidate eligibility changed: disposition+answerability+basis_class+note | preserved-only claim: reachable through the evidence surface and excluded from every default answer
PC-228	claim	event:israel.patriarchs.abram-enters-chanaan#0	yes	changed:disposition+answerability+basis_class+note	answerable->preserved (claim-changed)	modern-critical	preserved	alternate	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08193a-4931095f	-	the claim's own stored state changed in this lane | the claim's candidate eligibility changed: disposition+answerability+basis_class+note | preserved-only claim: reachable through the evidence surface and excluded from every default answer
PC-229	claim	event:israel.patriarchs.begetting-of-arphaxad#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.11.10	-	the claim's own stored state changed in this lane
PC-230	claim	event:israel.patriarchs.birth-of-abram#0	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-231	claim	event:israel.patriarchs.birth-of-heber#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.11.14	-	the claim's own stored state changed in this lane
PC-232	claim	event:israel.patriarchs.birth-of-isaac#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.21.5	-	the claim's own stored state changed in this lane
PC-233	claim	event:israel.patriarchs.birth-of-ismael#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.16.16;artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01051a-8bd3c845	-	the claim's own stored state changed in this lane
PC-234	claim	event:israel.patriarchs.birth-of-jacob#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.25.26	-	the claim's own stored state changed in this lane
PC-235	claim	event:israel.patriarchs.birth-of-joseph#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.41.46;artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08506a-07813cad	-	the claim's own stored state changed in this lane
PC-236	claim	event:israel.patriarchs.birth-of-nachor#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.11.22	-	the claim's own stored state changed in this lane
PC-237	claim	event:israel.patriarchs.birth-of-phaleg#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.11.16	-	the claim's own stored state changed in this lane
PC-238	claim	event:israel.patriarchs.birth-of-reu#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.11.18	-	the claim's own stored state changed in this lane
PC-239	claim	event:israel.patriarchs.birth-of-sale#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.11.12;artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-240	claim	event:israel.patriarchs.birth-of-sarug#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.11.20	-	the claim's own stored state changed in this lane
PC-241	claim	event:israel.patriarchs.birth-of-thare#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.11.24	-	the claim's own stored state changed in this lane
PC-242	claim	event:israel.patriarchs.call-of-abram#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.12.4	-	the claim's own stored state changed in this lane
PC-243	claim	event:israel.patriarchs.call-of-abram#1	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-244	claim	event:israel.patriarchs.call-of-abram#2	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-245	claim	event:israel.patriarchs.call-of-abram#3	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-246	claim	event:israel.patriarchs.covenant-of-circumcision#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.17.24	-	the claim's own stored state changed in this lane
PC-247	claim	event:israel.patriarchs.death-of-abraham#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.25.7	-	the claim's own stored state changed in this lane
PC-248	claim	event:israel.patriarchs.death-of-abraham#1	yes	changed:basis_class	-	traditional-catholic	answerable	alternate	artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01051a-8bd3c845	-	the claim's own stored state changed in this lane
PC-249	claim	event:israel.patriarchs.death-of-isaac#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.35.28;artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08175a-b904fd43	-	the claim's own stored state changed in this lane
PC-250	claim	event:israel.patriarchs.death-of-ismael#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.25.17	-	the claim's own stored state changed in this lane
PC-251	claim	event:israel.patriarchs.death-of-jacob#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.47.28;artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08261a-9865c411	-	the claim's own stored state changed in this lane
PC-252	claim	event:israel.patriarchs.death-of-joseph#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.50.25;artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08506a-07813cad	-	the claim's own stored state changed in this lane
PC-253	claim	event:israel.patriarchs.death-of-sara#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08175a-b904fd43;bible:douay-rheims:Gen.23.1;artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01051a-8bd3c845	-	the claim's own stored state changed in this lane
PC-254	claim	event:israel.patriarchs.death-of-thare#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.11.32	-	the claim's own stored state changed in this lane
PC-255	claim	event:israel.patriarchs.destruction-of-sodom#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01051a-8bd3c845	-	the claim's own stored state changed in this lane
PC-256	claim	event:israel.patriarchs.jacob-service-with-laban#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.31.41;bible:douay-rheims:Gen.30.25;bible:douay-rheims:Gen.29.20;bible:douay-rheims:Gen.29.30	-	the claim's own stored state changed in this lane
PC-257	claim	event:israel.patriarchs.joseph-sold-into-egypt#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.37.2	-	the claim's own stored state changed in this lane
PC-258	claim	event:israel.patriarchs.marriage-of-esau#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.26.34	-	the claim's own stored state changed in this lane
PC-259	claim	event:israel.patriarchs.marriage-of-isaac#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.25.20;artifact.catholic-encyclopedia.volume-8.new-york-1910.newadvent-08175a-b904fd43	-	the claim's own stored state changed in this lane
PC-260	claim	event:israel.patriarchs.mourning-for-jacob#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.50.3	-	the claim's own stored state changed in this lane
PC-261	claim	event:israel.patriarchs.theophany-at-mambre#0	yes	changed:basis_class	-	traditional-catholic	answerable	preferred	artifact.catholic-encyclopedia.volume-1.new-york-1907.newadvent-01051a-8bd3c845	-	the claim's own stored state changed in this lane
PC-262	claim	event:israel.primeval.begetting-of-sem-cham-and-japheth#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.31	-	the claim's own stored state changed in this lane
PC-263	claim	event:israel.primeval.birth-of-cainan#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.9	-	the claim's own stored state changed in this lane
PC-264	claim	event:israel.primeval.birth-of-enos#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.6;artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-265	claim	event:israel.primeval.birth-of-henoch#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.18	-	the claim's own stored state changed in this lane
PC-266	claim	event:israel.primeval.birth-of-jared#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.15	-	the claim's own stored state changed in this lane
PC-267	claim	event:israel.primeval.birth-of-lamech#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.25	-	the claim's own stored state changed in this lane
PC-268	claim	event:israel.primeval.birth-of-malaleel#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.12	-	the claim's own stored state changed in this lane
PC-269	claim	event:israel.primeval.birth-of-mathusala#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.21	-	the claim's own stored state changed in this lane
PC-270	claim	event:israel.primeval.birth-of-noe#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.28	-	the claim's own stored state changed in this lane
PC-271	claim	event:israel.primeval.birth-of-seth#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.3	-	the claim's own stored state changed in this lane
PC-272	claim	event:israel.primeval.creation#0	yes	changed:basis_class+reporting_exception	-	reported-excluded	answerable	disputed	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03738a-5eb03e5b	MF-2	the claim's own stored state changed in this lane | Ussher reporting exception: the narrowness of the one named lift is only checkable claim by claim
PC-273	claim	event:israel.primeval.creation#1	yes	changed:disposition+answerability+basis_class+note	answerable->preserved (claim-changed)	refusal-to-date	preserved	alternate	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	MF-2	"the claim's own stored state changed in this lane | the claim's candidate eligibility changed: disposition+answerability+basis_class+note | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample | preserved-only claim: reachable through the evidence surface and excluded from every default answer | BLOCKER 2 -- creation#1: Howlett's refusal to date, authored as a date and displayed by query Gen.1.1 though its own note said it must never be"
PC-274	claim	event:israel.primeval.creation-of-adam#0	yes	changed:basis_class	-	reported-traditional	answerable	preferred	artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-275	claim	event:israel.primeval.death-of-adam#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.5	-	the claim's own stored state changed in this lane
PC-276	claim	event:israel.primeval.death-of-cainan#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.14	-	the claim's own stored state changed in this lane
PC-277	claim	event:israel.primeval.death-of-enos#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.11	-	the claim's own stored state changed in this lane
PC-278	claim	event:israel.primeval.death-of-jared#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.20	-	the claim's own stored state changed in this lane
PC-279	claim	event:israel.primeval.death-of-lamech#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.31	-	the claim's own stored state changed in this lane
PC-280	claim	event:israel.primeval.death-of-malaleel#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.17	-	the claim's own stored state changed in this lane
PC-281	claim	event:israel.primeval.death-of-mathusala#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.27	-	the claim's own stored state changed in this lane
PC-282	claim	event:israel.primeval.death-of-noe#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.9.28;bible:douay-rheims:Gen.9.29	-	the claim's own stored state changed in this lane
PC-283	claim	event:israel.primeval.death-of-seth#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.5.8	-	the claim's own stored state changed in this lane
PC-284	claim	event:israel.primeval.deluge#0	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-4.new-york-1908.newadvent-04702a-dd9aa535;artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-285	claim	event:israel.primeval.deluge#1	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-4.new-york-1908.newadvent-04702a-dd9aa535;artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-286	claim	event:israel.primeval.deluge#2	yes	changed:basis_class	-	traditional-catholic	answerable	disputed	artifact.catholic-encyclopedia.volume-4.new-york-1908.newadvent-04702a-dd9aa535;artifact.catholic-encyclopedia.volume-3.new-york-1908.newadvent-03731a-f5f96f04	-	"the claim's own stored state changed in this lane | Howlett whole-artifact ruling: every claim citing ""Biblical Chronology"" is in the surface, not a sample"
PC-287	claim	event:israel.primeval.deluge#3	yes	changed:basis_class	-	reported-traditional	answerable	disputed	artifact.catholic-encyclopedia.volume-4.new-york-1908.newadvent-04702a-dd9aa535	-	the claim's own stored state changed in this lane
PC-288	claim	event:israel.primeval.deluge-begins#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.7.11	-	the claim's own stored state changed in this lane
PC-289	claim	event:israel.primeval.deluge-ends#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.8.14	-	the claim's own stored state changed in this lane
PC-290	claim	event:israel.primeval.deluge-rain#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.7.12	-	the claim's own stored state changed in this lane
PC-291	claim	event:israel.primeval.deluge-waters-abate#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.8.13	-	the claim's own stored state changed in this lane
PC-292	claim	event:israel.primeval.deluge-waters-prevail#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.7.24	-	the claim's own stored state changed in this lane
PC-293	claim	event:israel.primeval.division-of-the-earth#0	yes	changed:basis_class	-	scripture	answerable	preferred	bible:douay-rheims:Gen.10.25	-	the claim's own stored state changed in this lane
